domain,dila_current_public_site,proconnect_2024_verified_email_domain,status
academie-renseignement.gouv.fr,true,false,dila_current
academie.def.gouv.fr,false,true,proconnect_snapshot_only
acceslibre.beta.gouv.fr,true,false,dila_current
accessibilite.gouv.fr,true,false,dila_current
ae.diplomatie.gouv.fr,true,false,dila_current
aefe.gouv.fr,true,false,dila_current
afa.gouv.fr,false,true,proconnect_snapshot_only
aft.gouv.fr,true,true,dila_and_proconnect
agd.data.gouv.fr,true,false,dila_current
agence-cohesion-territoires.gouv.fr,true,false,dila_current
agence-francaise-anticorruption.gouv.fr,true,false,dila_current
agrasc.gouv.fr,false,true,proconnect_snapshot_only
agriculture.gouv.fr,true,true,dila_and_proconnect
aife.economie.gouv.fr,true,false,dila_current
ain.gouv.fr,false,true,proconnect_snapshot_only
air.defense.gouv.fr,true,false,dila_current
aisne.gouv.fr,false,true,proconnect_snapshot_only
allier.gouv.fr,false,true,proconnect_snapshot_only
allo119.gouv.fr,true,false,dila_current
alpes-de-haute-provence.gouv.fr,false,true,proconnect_snapshot_only
alpes-maritimes.gouv.fr,false,true,proconnect_snapshot_only
anah.gouv.fr,true,true,dila_and_proconnect
anc.gouv.fr,true,false,dila_current
anct.gouv.fr,true,true,dila_and_proconnect
angdm.gouv.fr,true,false,dila_current
anlci.gouv.fr,true,true,dila_and_proconnect
ansc.interieur.gouv.fr,true,false,dila_current
antai.gouv.fr,true,false,dila_current
ants.gouv.fr,true,false,dila_current
ape.gouv.fr,false,true,proconnect_snapshot_only
archives-nationales-outre-mer.culture.gouv.fr,true,false,dila_current
archives-nationales-travail.culture.gouv.fr,true,false,dila_current
archives-nationales.culture.gouv.fr,true,false,dila_current
archivesnationales.culture.gouv.fr,true,false,dila_current
ardeche.gouv.fr,false,true,proconnect_snapshot_only
ardennes.gouv.fr,false,true,proconnect_snapshot_only
ariege.gouv.fr,false,true,proconnect_snapshot_only
armement.defense.gouv.fr,true,false,dila_current
arpe.gouv.fr,true,false,dila_current
asp.gouv.fr,true,false,dila_current
associations.gouv.fr,true,false,dila_current
aube.gouv.fr,false,true,proconnect_snapshot_only
aude.gouv.fr,false,true,proconnect_snapshot_only
auvergne-rhone-alpes.gouv.fr,false,true,proconnect_snapshot_only
aveyron.gouv.fr,false,true,proconnect_snapshot_only
aviation-civile.gouv.fr,false,true,proconnect_snapshot_only
avis-biodiversite.developpement-durable.gouv.fr,true,false,dila_current
bas-rhin.gouv.fr,false,true,proconnect_snapshot_only
be.diplomatie.gouv.fr,true,false,dila_current
bea-mer.developpement-durable.gouv.fr,true,false,dila_current
bea-tt.developpement-durable.gouv.fr,true,false,dila_current
beta.gouv.fr,true,true,dila_and_proconnect
bfc.gouv.fr,false,true,proconnect_snapshot_only
biodiversite.gouv.fr,true,false,dila_current
bj.diplomatie.gouv.fr,true,false,dila_current
bmpm.gouv.fr,false,true,proconnect_snapshot_only
bouches-du-rhone.gouv.fr,false,true,proconnect_snapshot_only
br.diplomatie.gouv.fr,true,false,dila_current
bretagne.gouv.fr,false,true,proconnect_snapshot_only
budget.gouv.fr,true,false,dila_current
cab.travail.gouv.fr,false,true,proconnect_snapshot_only
calvados.gouv.fr,false,true,proconnect_snapshot_only
campus.numerique.gouv.fr,true,false,dila_current
cantal.gouv.fr,false,true,proconnect_snapshot_only
casier-judiciaire.justice.gouv.fr,true,false,dila_current
centre-val-de-loire.gouv.fr,false,true,proconnect_snapshot_only
cert.ssi.gouv.fr,true,false,dila_current
cessions.immobilier-etat.gouv.fr,true,false,dila_current
cetmef.equipement.gouv.fr,true,false,dila_current
cetu.developpement-durable.gouv.fr,true,false,dila_current
cfmt.terre.defense.gouv.fr,true,false,dila_current
cgedd.developpement-durable.gouv.fr,true,false,dila_current
charente-maritime.gouv.fr,false,true,proconnect_snapshot_only
charente.gouv.fr,false,true,proconnect_snapshot_only
cher.gouv.fr,false,true,proconnect_snapshot_only
cipdr.gouv.fr,true,false,dila_current
civs.gouv.fr,true,true,dila_and_proconnect
cmvrh.developpement-durable.gouv.fr,true,false,dila_current
cnig.gouv.fr,true,false,dila_current
cnle.gouv.fr,true,false,dila_current
cnsnmm.sports.gouv.fr,true,false,dila_current
code.gouv.fr,false,true,proconnect_snapshot_only
cofgc.gouv.fr,false,true,proconnect_snapshot_only
cohesion-territoires.gouv.fr,true,false,dila_current
collectivites-locales.gouv.fr,true,false,dila_current
collectivites-territoriales.gouv.fr,false,true,proconnect_snapshot_only
complementaire-sante-solidaire.gouv.fr,true,false,dila_current
conseil-national-industrie.gouv.fr,true,false,dila_current
consulat.gouv.fr,true,false,dila_current
correze.gouv.fr,false,true,proconnect_snapshot_only
corse-du-sud.gouv.fr,false,true,proconnect_snapshot_only
corse-du-sud.pref.gouv.fr,false,true,proconnect_snapshot_only
corse.gouv.fr,false,true,proconnect_snapshot_only
cote-dor.gouv.fr,false,true,proconnect_snapshot_only
cotes-darmor.gouv.fr,false,true,proconnect_snapshot_only
cr.diplomatie.gouv.fr,true,false,dila_current
creps-dijon.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-lorraine.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-montpellier.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-paca.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-pdl.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-poitiers.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-reims.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-rhonealpes.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-toulouse.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-vichy.sports.gouv.fr,false,true,proconnect_snapshot_only
creps-wattignies.sports.gouv.fr,false,true,proconnect_snapshot_only
creuse.gouv.fr,false,true,proconnect_snapshot_only
csmm.developpement-durable.gouv.fr,true,false,dila_current
cte.gouv.fr,true,false,dila_current
culture.gouv.fr,true,true,dila_and_proconnect
cvrh-paris.developpement-durable.gouv.fr,true,false,dila_current
cyber.gouv.fr,true,false,dila_current
data.gouv.fr,true,true,dila_and_proconnect
dcstep.gouv.fr,false,true,proconnect_snapshot_only
ddc.social.gouv.fr,false,true,proconnect_snapshot_only
de.diplomatie.gouv.fr,true,false,dila_current
deets.gouv.fr,false,true,proconnect_snapshot_only
def.gouv.fr,false,true,proconnect_snapshot_only
defense.gouv.fr,true,false,dila_current
deux-sevres.gouv.fr,false,true,proconnect_snapshot_only
developpement-durable.gouv.fr,false,true,proconnect_snapshot_only
devenirenseignant.gouv.fr,true,false,dila_current
dgccrf.finances.gouv.fr,false,true,proconnect_snapshot_only
dgcl.gouv.fr,false,true,proconnect_snapshot_only
dgfip.finances.gouv.fr,false,true,proconnect_snapshot_only
dgse.gouv.fr,true,false,dila_current
dgsi.interieur.gouv.fr,true,false,dila_current
dgtresor.gouv.fr,false,true,proconnect_snapshot_only
diese.gouv.fr,true,false,dila_current
dihal.gouv.fr,false,true,proconnect_snapshot_only
dila.gouv.fr,true,true,dila_and_proconnect
diplomatie.gouv.fr,true,true,dila_and_proconnect
dirm.nord-atlantique-manche-ouest.developpement-durable.gouv.fr,true,false,dila_current
dk.diplomatie.gouv.fr,true,false,dila_current
dordogne.gouv.fr,false,true,proconnect_snapshot_only
douane.finances.gouv.fr,false,true,proconnect_snapshot_only
douane.gouv.fr,true,false,dila_current
doubs.gouv.fr,false,true,proconnect_snapshot_only
drees.sante.gouv.fr,true,false,dila_current
drees.solidarites-sante.gouv.fr,true,false,dila_current
dreets.gouv.fr,false,true,proconnect_snapshot_only
drieets.gouv.fr,false,true,proconnect_snapshot_only
drogues.gouv.fr,true,false,dila_current
drome.gouv.fr,false,true,proconnect_snapshot_only
